Number,Name,Encoding,Type,Description
1,PageLikes,Decimal Encoding,Page feature,Defines the popularity or support for the source of the document.
2,PageCheckins,Decimal Encoding,Page feature,"Describes how many individuals so far visited this place. This feature is only associated with the places eg:some institution, place, theater etc."
3,PageTalkingAbout,Decimal Encoding,Page feature,"Defines the daily interest of individuals towards source of the document/ Post. The people who actually come back to the page, after liking the page. This include activities such as comments, likes to a post, shares, etc by visitors to the page."
4,PageCategory,Value Encoding,Page feature,"Defines the category of the source of the document eg: place, institution, brand etc."
5,CC1Min,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
6,CC1Max,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
7,CC1Avg,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
8,CC1Median,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
9,CC1SD,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
10,CC2Min,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
11,CC2Max,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
12,CC2Avg,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
13,CC2Median,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
14,CC2SD,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
15,CC3Min,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
16,CC3Max,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
17,CC3Avg,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
18,CC3Median,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
19,CC3SD,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
20,CC4Min,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
21,CC4Max,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
22,CC4Avg,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
23,CC4Median,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
24,CC4SD,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
25,CC5Min,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
26,CC5Max,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
27,CC5Avg,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
28,CC5Median,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
29,CC5SD,Decimal Encoding,Derived feature,"These features are aggregated by page, by calculating min, max, average, median and standard deviation of essential features."
30,CC1,Decimal Encoding,Essential feature,The total number of comments before selected base date/time.
31,CC2,Decimal Encoding,Essential feature,"The number of comments in last 24 hours, relative to base date/time."
32,CC3,Decimal Encoding,Essential feature,The number of comments in last 48 to last 24 hours relative to base date/time.
33,CC4,Decimal Encoding,Essential feature,The number of comments in the first 24 hours after the publication of post but before base date/time.
34,CC5,Decimal Encoding,Essential feature,The difference between CC2 and CC3.
35,Basetime,Decimal(0-71) Encoding,Other feature,Selected time in order to simulate the scenario.
36,Postlength,Decimal Encoding,Other feature,Character count in the post.
37,PostShareCount,Decimal Encoding,Other feature,"This features counts the no of shares of the post, that how many peoples had shared this post on to their timeline."
38,PostPromotionStatus,Binary Encoding,Other feature,"To reach more people with posts in News Feed, individual promote their post and this features tells that whether the post is promoted(1) or not(0)."
39,HLocal,Decimal(0-23) Encoding,Other feature,"This describes the H hrs, for which we have the target variable/ comments received."
40,SundayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
41,MondayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
42,TuesdayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
43,WednesdayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
44,ThursdayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
45,FridayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
46,SaturdayPublished,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on which the post was published.
47,SundayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
48,MondayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
49,TuesdayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
50,WednesdayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
51,ThursdayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
52,FridayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
53,SaturdayBaseTime,Binary Encoding,Weekdays feature,This represents the day(Sunday...Saturday) on selected base Date/Time.
54,TargetVariable,Decimal,Target,The no of comments in next H hrs(H is given in Feature no 39).
